Ariyalur,4741,4677,15,49,01/03/2021
Thoothukudi,16432,16243,46,143,21/03/2021
Tirunelveli,15889,15590,84,215,21/03/2021
Tiruppur,18858,18376,258,224,21/03/2021
Trichy,15237,14933,120,184,21/03/2021
Vellore,21237,20761,123,353,21/03/2021
Villupuram,15343,15191,38,114,21/03/2021
Virudhunagar,16764,16477,55,232,21/03/2021
AirportSurveillance(International),965,957,7,1,21/03/2021
AirportSurveillance(Domestic),1047,1043,3,1,21/03/2021
RailwaySurveillance,428,428,0,0,21/03/2021
Ariyalur,4777,4708,20,49,22/03/2021
Chengalpattu,54469,52849,817,803,22/03/2021
Chennai,242115,234702,3211,4202,22/03/2021
Coimbatore,57267,55811,768,688,22/03/2021
Cuddalore,25388,24993,106,289,22/03/2021
Dharmapuri,6721,6621,45,55,22/03/2021
Dindigul,11702,11389,113,200,22/03/2021
Erode,15082,14804,128,150,22/03/2021
Kallakurichi,10920,10808,4,108,22/03/2021
Kancheepuram,29980,29254,275,451,22/03/2021
Kanyakumari,17310,16944,105,261,22/03/2021
Karur,5582,5482,49,51,22/03/2021
Krishnagiri,8297,8101,78,118,22/03/2021
Madurai,21498,20885,151,462,22/03/2021
Nagapattinam,8805,8564,104,137,22/03/2021
Namakkal,11946,11767,68,111,22/03/2021
Nilgiris,8522,8383,89,50,22/03/2021
Perambalur,2300,2271,8,21,22/03/2021
Pudukottai,11756,11547,51,158,22/03/2021
Ramanathapuram,6505,6359,9,137,22/03/2021
Ranipet,16320,16084,46,190,22/03/2021
Salem,33085,32440,177,468,22/03/2021
Sivagangai,6887,6697,63,127,22/03/2021
Tenkasi,8636,8426,50,160,22/03/2021
Thanjavur,18860,18093,504,263,22/03/2021
Theni,17231,16991,33,207,22/03/2021
Thirupathur,7704,7536,41,127,22/03/2021
Thiruvallur,45176,43930,543,703,22/03/2021
Thiruvannamalai,19587,19268,34,285,22/03/2021
Thiruvarur,11625,11356,157,112,22/03/2021
Thoothukudi,16443,16248,52,143,22/03/2021
Tirunelveli,15900,15596,89,215,22/03/2021
Tiruppur,18899,18405,270,224,22/03/2021
Trichy,15257,14943,130,184,22/03/2021
Vellore,21247,20777,117,353,22/03/2021
Villupuram,15358,15193,52,113,22/03/2021
Virudhunagar,16769,16484,53,232,22/03/2021
AirportSurveillance(International),966,959,6,1,22/03/2021
AirportSurveillance(Domestic),1047,1043,3,1,22/03/2021
RailwaySurveillance,428,428,0,0,22/03/2021
Ariyalur,4782,4709,24,49,23/03/2021
Chengalpattu,54618,52904,909,805,23/03/2021
Chennai,242647,235000,3441,4206,23/03/2021
Coimbatore,57413,55900,825,688,23/03/2021
Cuddalore,25403,24996,118,289,23/03/2021
Dharmapuri,6726,6623,48,55,23/03/2021
Dindigul,11716,11409,107,200,23/03/2021
Erode,15112,14821,141,150,23/03/2021
Kallakurichi,10921,10808,5,108,23/03/2021
Kancheepuram,30031,29294,286,451,23/03/2021
Kanyakumari,17337,16953,123,261,23/03/2021
Karur,5587,5486,50,51,23/03/2021
Krishnagiri,8307,8110,79,118,23/03/2021
Madurai,21538,20897,179,462,23/03/2021
Nagapattinam,8826,8573,115,138,23/03/2021
Namakkal,11963,11769,83,111,23/03/2021
Nilgiris,8536,8392,94,50,23/03/2021
Perambalur,2301,2272,8,21,23/03/2021
Pudukottai,11759,11551,50,158,23/03/2021
Ramanathapuram,6509,6360,12,137,23/03/2021
Ranipet,16327,16096,41,190,23/03/2021
Salem,33118,32453,197,468,23/03/2021
Sivagangai,6894,6705,62,127,23/03/2021
Tenkasi,8646,8427,59,160,23/03/2021
Thanjavur,18927,18162,502,263,23/03/2021
Theni,17237,16993,37,207,23/03/2021
Thirupathur,7715,7538,50,127,23/03/2021
Thiruvallur,45247,43985,557,705,23/03/2021
Thiruvannamalai,19589,19270,34,285,23/03/2021
Thiruvarur,11646,11368,166,112,23/03/2021
Thoothukudi,16449,16252,54,143,23/03/2021
Tirunelveli,15919,15604,100,215,23/03/2021
Tiruppur,18931,18448,259,224,23/03/2021
Trichy,15270,14955,131,184,23/03/2021
Vellore,21274,20831,90,353,23/03/2021
Villupuram,15364,15195,56,113,23/03/2021
Virudhunagar,16776,16502,42,232,23/03/2021
AirportSurveillance(International),968,959,8,1,23/03/2021
AirportSurveillance(Domestic),1047,1043,3,1,23/03/2021
RailwaySurveillance,428,428,0,0,23/03/2021
Ariyalur,4785,4711,25,49,24/03/2021
Chengalpattu,54812,52991,1014,807,24/03/2021
Chennai,243287,235325,3751,4211,24/03/2021
Coimbatore,57563,55995,879,689,24/03/2021
Cuddalore,25424,25018,117,289,24/03/2021
Dharmapuri,6734,6625,54,55,24/03/2021
Dindigul,11731,11428,103,200,24/03/2021
Erode,15141,14845,146,150,24/03/2021
Kallakurichi,10924,10809,7,108,24/03/2021
Kancheepuram,30075,29319,303,453,24/03/2021
Kanyakumari,17348,16972,114,262,24/03/2021
Karur,5593,5489,53,51,24/03/2021
Krishnagiri,8327,8115,94,118,24/03/2021
Madurai,21564,20912,190,462,24/03/2021
Nagapattinam,8856,8588,131,137,24/03/2021
Namakkal,11981,11777,93,111,24/03/2021
Nilgiris,8552,8404,98,50,24/03/2021
Perambalur,2302,2272,9,21,24/03/2021
Pudukottai,11769,11561,50,158,24/03/2021
Ramanathapuram,6516,6361,18,137,24/03/2021
Ranipet,16339,16100,49,190,24/03/2021
Salem,33156,32474,214,468,24/03/2021
Sivagangai,6899,6711,61,127,24/03/2021
Tenkasi,8656,8432,64,160,24/03/2021
Thanjavur,19000,18286,449,265,24/03/2021
Theni,17245,16996,42,207,24/03/2021
Thirupathur,7726,7542,57,127,24/03/2021
Thiruvallur,45322,44046,571,705,24/03/2021
Thiruvannamalai,19597,19275,37,285,24/03/2021
Thiruvarur,11670,11383,175,112,24/03/2021
Thoothukudi,16461,16254,64,143,24/03/2021
Tirunelveli,15930,15607,108,215,24/03/2021
Tiruppur,18976,18482,270,224,24/03/2021
Trichy,15284,14967,133,184,24/03/2021
Vellore,21300,20840,107,353,24/03/2021
Villupuram,15368,15202,53,113,24/03/2021
Virudhunagar,16782,16520,30,232,24/03/2021
AirportSurveillance(International),969,959,9,1,24/03/2021
AirportSurveillance(Domestic),1048,1043,4,1,24/03/2021
RailwaySurveillance,428,428,0,0,24/03/2021
Ariyalur,4794,4713,32,49,25/03/2021
Chengalpattu,54976,53081,1088,807,25/03/2021
Chennai,243954,235654,4082,4218,25/03/2021
Coimbatore,57718,56093,936,689,25/03/2021
Cuddalore,25451,25028,134,289,25/03/2021
Dharmapuri,6737,6626,56,55,25/03/2021
Dindigul,11754,11438,116,200,25/03/2021
Erode,15172,14865,157,150,25/03/2021
Kallakurichi,10926,10811,7,108,25/03/2021
Kancheepuram,30141,29348,339,454,25/03/2021
Kanyakumari,17368,16980,126,262,25/03/2021
Karur,5600,5496,53,51,25/03/2021
Krishnagiri,8337,8121,98,118,25/03/2021
Madurai,21608,20920,226,462,25/03/2021
Nagapattinam,8869,8597,135,137,25/03/2021
Namakkal,11999,11783,105,111,25/03/2021
Nilgiris,8566,8412,104,50,25/03/2021
Perambalur,2302,2274,7,21,25/03/2021
Pudukottai,11777,11570,49,158,25/03/2021
Ramanathapuram,6521,6361,23,137,25/03/2021
Ranipet,16355,16100,65,190,25/03/2021
Salem,33203,32492,243,468,25/03/2021
Sivagangai,6909,6717,65,127,25/03/2021
Tenkasi,8660,8435,65,160,25/03/2021
Thanjavur,19107,18376,465,266,25/03/2021
Theni,17253,16998,48,207,25/03/2021
Thirupathur,7737,7544,66,127,25/03/2021
Thiruvallur,45399,44177,516,706,25/03/2021
Thiruvannamalai,19611,19285,41,285,25/03/2021
Thiruvarur,11723,11393,218,112,25/03/2021
Thoothukudi,16473,16257,73,143,25/03/2021
Tirunelveli,15945,15621,109,215,25/03/2021
Tiruppur,19008,18519,265,224,25/03/2021
Trichy,15318,14984,150,184,25/03/2021
Vellore,21326,20852,120,354,25/03/2021
Villupuram,15386,15207,66,113,25/03/2021
Virudhunagar,16791,16530,29,232,25/03/2021
AirportSurveillance(International),969,961,7,1,25/03/2021
AirportSurveillance(Domestic),1048,1044,3,1,25/03/2021
RailwaySurveillance,428,428,0,0,25/03/2021
Ariyalur,4800,4715,36,49,26/03/2021
Chengalpattu,55189,53184,1197,808,26/03/2021
Chennai,244686,236048,4416,4222,26/03/2021
Coimbatore,57891,56189,1013,689,26/03/2021
Cuddalore,25477,25036,152,289,26/03/2021
Dharmapuri,6746,6626,65,55,26/03/2021
Dindigul,11770,11455,115,200,26/03/2021
Erode,15190,14891,149,150,26/03/2021
Kallakurichi,10932,10811,13,108,26/03/2021
Kancheepuram,30211,29393,363,455,26/03/2021
Kanyakumari,17396,16994,140,262,26/03/2021
Karur,5605,5503,51,51,26/03/2021
Krishnagiri,8355,8126,110,119,26/03/2021
Madurai,21626,20944,219,463,26/03/2021
Nagapattinam,8902,8607,158,137,26/03/2021
Namakkal,12019,11796,112,111,26/03/2021
Nilgiris,8582,8422,110,50,26/03/2021
Perambalur,2302,2275,6,21,26/03/2021
Pudukottai,11792,11581,53,158,26/03/2021
Ramanathapuram,6527,6362,28,137,26/03/2021
Ranipet,16378,16100,88,190,26/03/2021
Salem,33242,32512,262,468,26/03/2021
Sivagangai,6921,6721,73,127,26/03/2021
Tenkasi,8666,8438,67,161,26/03/2021
Thanjavur,19219,18452,501,266,26/03/2021
Theni,17258,17003,48,207,26/03/2021
Thirupathur,7747,7547,73,127,26/03/2021
Thiruvallur,45507,44284,518,705,26/03/2021
Thiruvannamalai,19625,19292,48,285,26/03/2021
Thiruvarur,11766,11412,241,113,26/03/2021
Thoothukudi,16491,16270,78,143,26/03/2021
Tirunelveli,15964,15634,115,215,26/03/2021
Tiruppur,19046,18549,273,224,26/03/2021
Trichy,15353,15002,167,184,26/03/2021
Vellore,21357,20859,144,354,26/03/2021
Villupuram,15402,15220,69,113,26/03/2021
Virudhunagar,16802,16536,34,232,26/03/2021
AirportSurveillance(International),970,961,8,1,26/03/2021
AirportSurveillance(Domestic),1050,1044,5,1,26/03/2021
RailwaySurveillance,428,428,0,0,26/03/2021
Ariyalur,4807,4718,40,49,27/03/2021
Chengalpattu,55369,53306,1254,809,27/03/2021
Chennai,245483,236472,4785,4226,27/03/2021
Coimbatore,58077,56296,1092,689,27/03/2021
Cuddalore,25522,25048,185,289,27/03/2021
Dharmapuri,6752,6640,57,55,27/03/2021
Dindigul,11789,11466,123,200,27/03/2021
Erode,15222,14912,160,150,27/03/2021
Kallakurichi,10936,10811,17,108,27/03/2021
Kancheepuram,30288,29435,398,455,27/03/2021
Kanyakumari,17418,17007,149,262,27/03/2021
Karur,5614,5512,51,51,27/03/2021
Krishnagiri,8375,8142,114,119,27/03/2021
Madurai,21661,20970,227,464,27/03/2021
Nagapattinam,8951,8629,185,137,27/03/2021
Namakkal,12039,11807,121,111,27/03/2021
Nilgiris,8600,8435,115,50,27/03/2021
Perambalur,2303,2275,7,21,27/03/2021
Pudukottai,11808,11591,57,160,27/03/2021
Ramanathapuram,6532,6364,31,137,27/03/2021
Ranipet,16401,16110,101,190,27/03/2021
Salem,33298,32553,277,468,27/03/2021
Sivagangai,6940,6729,84,127,27/03/2021
Tenkasi,8674,8439,74,161,27/03/2021
Thanjavur,19281,18519,496,266,27/03/2021
Theni,17263,17008,48,207,27/03/2021
Thirupathur,7761,7552,82,127,27/03/2021
Thiruvallur,45609,44378,525,706,27/03/2021
Thiruvannamalai,19636,19296,55,285,27/03/2021
Thiruvarur,11805,11430,262,113,27/03/2021
Thoothukudi,16499,16279,77,143,27/03/2021
Tirunelveli,15991,15648,128,215,27/03/2021
Tiruppur,19105,18587,294,224,27/03/2021
Trichy,15402,15028,190,184,27/03/2021
Vellore,21376,20870,152,354,27/03/2021
Villupuram,15424,15228,83,113,27/03/2021
Virudhunagar,16819,16540,47,232,27/03/2021
AirportSurveillance(International),971,961,9,1,27/03/2021
AirportSurveillance(Domestic),1050,1044,5,1,27/03/2021
RailwaySurveillance,428,428,0,0,27/03/2021
Ariyalur,4809,4721,39,49,28/03/2021
Chengalpattu,55579,53435,1335,809,28/03/2021
Chennai,246339,236911,5198,4230,28/03/2021
Coimbatore,58258,56397,1172,689,28/03/2021
Cuddalore,25561,25063,209,289,28/03/2021
Dharmapuri,6760,6650,55,55,28/03/2021
Dindigul,11809,11480,129,200,28/03/2021
Erode,15252,14930,172,150,28/03/2021
Kallakurichi,10938,10813,17,108,28/03/2021
Kancheepuram,30358,29483,420,455,28/03/2021
Kanyakumari,17434,17022,149,263,28/03/2021
Karur,5621,5523,47,51,28/03/2021
Krishnagiri,8396,8161,116,119,28/03/2021
Madurai,21691,20993,234,464,28/03/2021
Nagapattinam,9005,8649,219,137,28/03/2021
Namakkal,12054,11815,128,111,28/03/2021
Nilgiris,8621,8445,126,50,28/03/2021
Perambalur,2303,2275,7,21,28/03/2021
Pudukottai,11820,11599,61,160,28/03/2021
Ramanathapuram,6539,6367,35,137,28/03/2021
Ranipet,16419,16119,110,190,28/03/2021
Salem,33348,32596,284,468,28/03/2021
Sivagangai,6950,6736,87,127,28/03/2021
Tenkasi,8683,8443,79,161,28/03/2021
Thanjavur,19388,18580,541,267,28/03/2021
Theni,17271,17011,53,207,28/03/2021
Thirupathur,7778,7556,94,128,28/03/2021
Thiruvallur,45718,44474,536,708,28/03/2021
Thiruvannamalai,19647,19299,63,285,28/03/2021
Thiruvarur,11855,11457,284,114,28/03/2021
Thoothukudi,16513,16286,84,143,28/03/2021
Tirunelveli,16013,15660,138,215,28/03/2021
Tiruppur,19167,18629,313,225,28/03/2021
Trichy,15451,15056,211,184,28/03/2021
Vellore,21399,20883,162,354,28/03/2021
Villupuram,15444,15238,93,113,28/03/2021
Virudhunagar,16832,16545,55,232,28/03/2021
AirportSurveillance(International),971,961,9,1,28/03/2021
AirportSurveillance(Domestic),1051,1044,6,1,28/03/2021
RailwaySurveillance,428,428,0,0,28/03/2021
Ariyalur,4812,4722,41,49,29/03/2021
Chengalpattu,55796,53568,1415,813,29/03/2021
Chennai,247148,237375,5541,4232,29/03/2021
Coimbatore,58471,56490,1290,691,29/03/2021
Cuddalore,25618,25093,235,290,29/03/2021
Dharmapuri,6767,6656,56,55,29/03/2021
Dindigul,11833,11490,143,200,29/03/2021
Erode,15291,14955,186,150,29/03/2021
Kallakurichi,10943,10816,19,108,29/03/2021
Kancheepuram,30420,29536,429,455,29/03/2021
Kanyakumari,17453,17036,154,263,29/03/2021
Karur,5629,5530,47,52,29/03/2021
Krishnagiri,8421,8176,126,119,29/03/2021
Madurai,21729,21012,252,465,29/03/2021
Nagapattinam,9061,8661,262,138,29/03/2021
Namakkal,12075,11826,138,111,29/03/2021
Nilgiris,8635,8456,129,50,29/03/2021
Perambalur,2305,2279,5,21,29/03/2021
Pudukottai,11838,11607,71,160,29/03/2021
Ramanathapuram,6543,6372,34,137,29/03/2021
Ranipet,16444,16131,123,190,29/03/2021
Salem,33397,32636,293,468,29/03/2021
Sivagangai,6962,6744,91,127,29/03/2021
Tenkasi,8690,8448,81,161,29/03/2021
Thanjavur,19518,18684,567,267,29/03/2021
Theni,17280,17018,55,207,29/03/2021
Thirupathur,7789,7566,95,128,29/03/2021
Thiruvallur,45843,44559,575,709,29/03/2021
Thiruvannamalai,19661,19307,69,285,29/03/2021
Thiruvarur,11914,11483,317,114,29/03/2021
Thoothukudi,16530,16291,96,143,29/03/2021
Tirunelveli,16024,15679,130,215,29/03/2021
Tiruppur,19216,18656,334,226,29/03/2021
Trichy,15511,15070,257,184,29/03/2021
Vellore,21419,20896,169,354,29/03/2021
Villupuram,15471,15254,104,113,29/03/2021
Virudhunagar,16844,16569,43,232,29/03/2021
AirportSurveillance(International),972,964,7,1,29/03/2021
AirportSurveillance(Domestic),1051,1046,4,1,29/03/2021
RailwaySurveillance,428,428,0,0,29/03/2021
Ariyalur,4812,4724,39,49,30/03/2021
Chengalpattu,56073,53692,1566,815,30/03/2021
Chennai,248031,237900,5895,4236,30/03/2021
Coimbatore,58679,56599,1387,693,30/03/2021
Cuddalore,25655,25112,253,290,30/03/2021
Dharmapuri,6773,6662,56,55,30/03/2021
Dindigul,11856,11507,148,201,30/03/2021
Erode,15316,14986,180,150,30/03/2021
Kallakurichi,10946,10817,21,108,30/03/2021
Kancheepuram,30483,29596,430,457,30/03/2021
Kanyakumari,17507,17054,190,263,30/03/2021
Karur,5639,5535,52,52,30/03/2021
Krishnagiri,8441,8193,129,119,30/03/2021
Madurai,21778,21027,286,465,30/03/2021
Nagapattinam,9122,8677,306,139,30/03/2021
Namakkal,12093,11840,142,111,30/03/2021
Nilgiris,8648,8468,130,50,30/03/2021
Perambalur,2305,2280,4,21,30/03/2021
Pudukottai,11852,11612,80,160,30/03/2021
Ramanathapuram,6550,6375,38,137,30/03/2021
Ranipet,16453,16141,122,190,30/03/2021
Salem,33436,32670,298,468,30/03/2021
Sivagangai,6983,6755,101,127,30/03/2021
Tenkasi,8699,8459,79,161,30/03/2021
Thanjavur,19636,18792,574,270,30/03/2021
Theni,17291,17031,53,207,30/03/2021
Thirupathur,7799,7582,89,128,30/03/2021
Thiruvallur,45920,44637,573,710,30/03/2021
Thiruvannamalai,19674,19317,72,285,30/03/2021
Thiruvarur,11966,11519,333,114,30/03/2021
Thoothukudi,16538,16298,97,143,30/03/2021
Tirunelveli,16058,15695,148,215,30/03/2021
Tiruppur,19269,18692,351,226,30/03/2021
Trichy,15558,15088,286,184,30/03/2021
Vellore,21455,20918,183,354,30/03/2021
Villupuram,15485,15271,101,113,30/03/2021
Virudhunagar,16862,16587,43,232,30/03/2021
AirportSurveillance(International),974,966,7,1,30/03/2021
AirportSurveillance(Domestic),1051,1046,4,1,30/03/2021
RailwaySurveillance,428,428,0,0,30/03/2021
Ariyalur,4814,4729,36,49,31/03/2021
Chengalpattu,56330,53822,1690,818,31/03/2021
Chennai,248965,238467,6255,4243,31/03/2021
Coimbatore,58960,56715,1551,694,31/03/2021
Cuddalore,25706,25132,283,291,31/03/2021
Dharmapuri,6781,6670,56,55,31/03/2021
Dindigul,11880,11526,152,202,31/03/2021
Erode,15352,15011,191,150,31/03/2021
Kallakurichi,10951,10818,25,108,31/03/2021
Kancheepuram,30584,29652,475,457,31/03/2021
Kanyakumari,17537,17076,198,263,31/03/2021
Karur,5650,5541,57,52,31/03/2021
Krishnagiri,8468,8204,145,119,31/03/2021
Madurai,21814,21048,301,465,31/03/2021
Nagapattinam,9164,8696,327,141,31/03/2021
Namakkal,12111,11853,147,111,31/03/2021
Nilgiris,8666,8484,132,50,31/03/2021
Perambalur,2307,2280,6,21,31/03/2021
Pudukottai,11874,11619,95,160,31/03/2021
Ramanathapuram,6554,6379,38,137,31/03/2021
Ranipet,16475,16149,136,190,31/03/2021
Salem,33488,32716,304,468,31/03/2021
Sivagangai,6998,6764,107,127,31/03/2021
Tenkasi,8717,8467,89,161,31/03/2021
Thanjavur,19741,18889,581,271,31/03/2021
Theni,17299,17039,53,207,31/03/2021
Thirupathur,7806,7594,84,128,31/03/2021
Thiruvallur,46060,44742,607,711,31/03/2021
Thiruvannamalai,19692,19329,78,285,31/03/2021
Thiruvarur,12014,11550,349,115,31/03/2021
Thoothukudi,16554,16304,107,143,31/03/2021
Tirunelveli,16092,15716,161,215,31/03/2021
Tiruppur,19324,18733,365,226,31/03/2021
Trichy,15615,15099,331,185,31/03/2021
Vellore,21490,20939,197,354,31/03/2021
Villupuram,15507,15288,106,113,31/03/2021
Virudhunagar,16875,16595,48,232,31/03/2021
AirportSurveillance(International),974,966,7,1,31/03/2021
AirportSurveillance(Domestic),1056,1046,9,1,31/03/2021
RailwaySurveillance,428,428,0,0,31/03/2021
