Ariyalur,16693,16345,93,255,01/10/2021
Chengalpattu,168871,165309,1087,2475,01/10/2021
Chennai,550020,539583,1952,8485,01/10/2021
Coimbatore,242664,238300,2022,2342,01/10/2021
Cuddalore,63437,62196,383,858,01/10/2021
Dharmapuri,27722,27084,379,259,01/10/2021
Dindigul,32819,32054,127,638,01/10/2021
Erode,102007,100170,1165,672,01/10/2021
Kallakurichi,30969,30512,248,209,01/10/2021
Kancheepuram,73992,72359,385,1248,01/10/2021
Kanyakumari,61796,60481,273,1042,01/10/2021
Karur,23607,23075,177,355,01/10/2021
Krishnagiri,42876,42196,341,339,01/10/2021
Madurai,74624,73192,268,1164,01/10/2021
Mayiladuthurai,22843,22317,220,306,01/10/2021
Nagapattinam,20507,19857,322,328,01/10/2021
Namakkal,50680,49663,530,487,01/10/2021
Nilgiris,32774,32219,354,201,01/10/2021
Perambalur,11949,11623,88,238,01/10/2021
Pudukottai,29758,29126,223,409,01/10/2021
Ramanathapuram,20356,19935,65,356,01/10/2021
Ranipet,43060,42119,173,768,01/10/2021
Salem,98176,95765,745,1666,01/10/2021
Sivagangai,19863,19475,186,202,01/10/2021
Tenkasi,27285,26745,56,484,01/10/2021
Thanjavur,73541,71812,791,938,01/10/2021
Theni,43428,42827,84,517,01/10/2021
Thirupathur,29006,28175,212,619,01/10/2021
Thiruvallur,117853,115334,696,1823,01/10/2021
Thiruvannamalai,54370,53349,358,663,01/10/2021
Thiruvarur,40361,39411,538,412,01/10/2021
Thoothukudi,55874,55296,174,404,01/10/2021
Tirunelveli,48912,48254,228,430,01/10/2021
Tiruppur,93107,91279,873,955,01/10/2021
Trichy,76106,74420,654,1032,01/10/2021
Vellore,49417,48047,249,1121,01/10/2021
Villupuram,45474,44885,235,354,01/10/2021
Virudhunagar,46053,45364,142,547,01/10/2021
AirportSurveillance(International),1025,1022,2,1,01/10/2021
AirportSurveillance(Domestic),1083,1081,1,1,01/10/2021
RailwaySurveillance,428,428,0,0,01/10/2021
Ariyalur,16702,16352,95,255,02/10/2021
Chengalpattu,168978,165405,1096,2477,02/10/2021
Chennai,550214,539787,1937,8490,02/10/2021
Coimbatore,242830,238498,1990,2342,02/10/2021
Cuddalore,63467,62238,370,859,02/10/2021
Dharmapuri,27756,27117,380,259,02/10/2021
Dindigul,32828,32064,126,638,02/10/2021
Erode,102101,100278,1151,672,02/10/2021
Kallakurichi,30987,30547,231,209,02/10/2021
Kancheepuram,74023,72406,366,1251,02/10/2021
Kanyakumari,61822,60500,280,1042,02/10/2021
Karur,23632,23089,188,355,02/10/2021
Krishnagiri,42907,42228,339,340,02/10/2021
Madurai,74658,73208,286,1164,02/10/2021
Mayiladuthurai,22889,22347,236,306,02/10/2021
Nagapattinam,20521,19891,302,328,02/10/2021
Namakkal,50726,49709,529,488,02/10/2021
Nilgiris,32807,32248,357,202,02/10/2021
Perambalur,11957,11629,89,239,02/10/2021
Pudukottai,29776,29144,223,409,02/10/2021
Ramanathapuram,20364,19938,70,356,02/10/2021
Ranipet,43081,42133,180,768,02/10/2021
Salem,98236,95834,735,1667,02/10/2021
Sivagangai,19875,19486,187,202,02/10/2021
Tenkasi,27287,26752,51,484,02/10/2021
Thanjavur,73640,71906,795,939,02/10/2021
Theni,43436,42835,84,517,02/10/2021
Thirupathur,29030,28188,223,619,02/10/2021
Thiruvallur,117909,115390,694,1825,02/10/2021
Thiruvannamalai,54398,53380,354,664,02/10/2021
Thiruvarur,40420,39448,558,414,02/10/2021
Thoothukudi,55889,55316,169,404,02/10/2021
Tirunelveli,48938,48279,229,430,02/10/2021
Tiruppur,93188,91371,862,955,02/10/2021
Trichy,76163,74468,663,1032,02/10/2021
Vellore,49430,48062,245,1123,02/10/2021
Villupuram,45491,44913,224,354,02/10/2021
Virudhunagar,46072,45376,149,547,02/10/2021
AirportSurveillance(International),1025,1022,2,1,02/10/2021
AirportSurveillance(Domestic),1083,1081,1,1,02/10/2021
RailwaySurveillance,428,428,0,0,02/10/2021
Ariyalur,16710,16361,94,255,03/10/2021
Chengalpattu,169081,165496,1106,2479,03/10/2021
Chennai,550398,539981,1926,8491,03/10/2021
Coimbatore,242988,238704,1941,2343,03/10/2021
Cuddalore,63499,62276,364,859,03/10/2021
Dharmapuri,27789,27151,376,262,03/10/2021
Dindigul,32838,32072,128,638,03/10/2021
Erode,102188,100381,1135,672,03/10/2021
Kallakurichi,31005,30573,223,209,03/10/2021
Kancheepuram,74056,72445,359,1252,03/10/2021
Kanyakumari,61847,60521,283,1043,03/10/2021
Karur,23649,23105,189,355,03/10/2021
Krishnagiri,42950,42269,340,341,03/10/2021
Madurai,74687,73221,302,1164,03/10/2021
Mayiladuthurai,22916,22382,227,307,03/10/2021
Nagapattinam,20550,19920,300,330,03/10/2021
Namakkal,50776,49745,543,488,03/10/2021
Nilgiris,32846,32273,371,202,03/10/2021
Perambalur,11965,11636,89,240,03/10/2021
Pudukottai,29803,29172,220,411,03/10/2021
Ramanathapuram,20373,19943,74,356,03/10/2021
Ranipet,43100,42151,181,768,03/10/2021
Salem,98291,95908,716,1667,03/10/2021
Sivagangai,19890,19503,184,203,03/10/2021
Tenkasi,27288,26758,46,484,03/10/2021
Thanjavur,73727,71993,794,940,03/10/2021
Theni,43443,42839,87,517,03/10/2021
Thirupathur,29051,28202,229,620,03/10/2021
Thiruvallur,117972,115438,709,1825,03/10/2021
Thiruvannamalai,54424,53417,342,665,03/10/2021
Thiruvarur,40479,39479,584,416,03/10/2021
Thoothukudi,55902,55333,165,404,03/10/2021
Tirunelveli,48959,48307,222,430,03/10/2021
Tiruppur,93268,91457,855,956,03/10/2021
Trichy,76218,74527,659,1032,03/10/2021
Vellore,49439,48081,235,1123,03/10/2021
Villupuram,45506,44935,217,354,03/10/2021
Virudhunagar,46088,45386,155,547,03/10/2021
AirportSurveillance(International),1025,1022,2,1,03/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,03/10/2021
RailwaySurveillance,428,428,0,0,03/10/2021
Ariyalur,16716,16374,87,255,04/10/2021
Chengalpattu,169188,165583,1126,2479,04/10/2021
Chennai,550582,540170,1917,8495,04/10/2021
Coimbatore,243143,238899,1901,2343,04/10/2021
Cuddalore,63530,62311,360,859,04/10/2021
Dharmapuri,27820,27178,380,262,04/10/2021
Dindigul,32849,32078,133,638,04/10/2021
Erode,102267,100486,1109,672,04/10/2021
Kallakurichi,31021,30597,215,209,04/10/2021
Kancheepuram,74089,72481,356,1252,04/10/2021
Kanyakumari,61871,60547,281,1043,04/10/2021
Karur,23667,23117,195,355,04/10/2021
Krishnagiri,42988,42316,329,343,04/10/2021
Madurai,74716,73240,310,1166,04/10/2021
Mayiladuthurai,22943,22410,226,307,04/10/2021
Nagapattinam,20573,19942,301,330,04/10/2021
Namakkal,50827,49783,556,488,04/10/2021
Nilgiris,32881,32302,377,202,04/10/2021
Perambalur,11970,11644,86,240,04/10/2021
Pudukottai,29824,29204,208,412,04/10/2021
Ramanathapuram,20381,19947,78,356,04/10/2021
Ranipet,43117,42166,183,768,04/10/2021
Salem,98343,95989,687,1667,04/10/2021
Sivagangai,19901,19523,175,203,04/10/2021
Tenkasi,27290,26765,41,484,04/10/2021
Thanjavur,73815,72067,805,943,04/10/2021
Theni,43450,42844,89,517,04/10/2021
Thirupathur,29069,28218,231,620,04/10/2021
Thiruvallur,118025,115492,706,1827,04/10/2021
Thiruvannamalai,54447,53448,334,665,04/10/2021
Thiruvarur,40535,39516,602,417,04/10/2021
Thoothukudi,55920,55346,169,405,04/10/2021
Tirunelveli,48976,48332,214,430,04/10/2021
Tiruppur,93347,91539,852,956,04/10/2021
Trichy,76267,74590,645,1032,04/10/2021
Vellore,49456,48098,235,1123,04/10/2021
Villupuram,45519,44958,207,354,04/10/2021
Virudhunagar,46102,45400,155,547,04/10/2021
AirportSurveillance(International),1026,1022,3,1,04/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,04/10/2021
RailwaySurveillance,428,428,0,0,04/10/2021
Ariyalur,16723,16383,85,255,05/10/2021
Chengalpattu,169301,165669,1153,2479,05/10/2021
Chennai,550759,540362,1900,8497,05/10/2021
Coimbatore,243294,239107,1842,2345,05/10/2021
Cuddalore,63556,62343,354,859,05/10/2021
Dharmapuri,27851,27206,382,263,05/10/2021
Dindigul,32860,32085,137,638,05/10/2021
Erode,102357,100584,1100,673,05/10/2021
Kallakurichi,31036,30617,210,209,05/10/2021
Kancheepuram,74123,72515,355,1253,05/10/2021
Kanyakumari,61894,60576,275,1043,05/10/2021
Karur,23685,23130,200,355,05/10/2021
Krishnagiri,43022,42359,320,343,05/10/2021
Madurai,74745,73266,313,1166,05/10/2021
Mayiladuthurai,22969,22422,239,308,05/10/2021
Nagapattinam,20595,19957,308,330,05/10/2021
Namakkal,50872,49824,560,488,05/10/2021
Nilgiris,32915,32339,372,204,05/10/2021
Perambalur,11976,11648,88,240,05/10/2021
Pudukottai,29845,29231,202,412,05/10/2021
Ramanathapuram,20388,19952,80,356,05/10/2021
Ranipet,43130,42177,185,768,05/10/2021
Salem,98396,96076,653,1667,05/10/2021
Sivagangai,19912,19540,169,203,05/10/2021
Tenkasi,27293,26771,38,484,05/10/2021
Thanjavur,73895,72132,817,946,05/10/2021
Theni,43460,42848,95,517,05/10/2021
Thirupathur,29083,28243,219,621,05/10/2021
Thiruvallur,118087,115554,706,1827,05/10/2021
Thiruvannamalai,54470,53481,324,665,05/10/2021
Thiruvarur,40585,39547,621,417,05/10/2021
Thoothukudi,55937,55356,176,405,05/10/2021
Tirunelveli,49001,48350,221,430,05/10/2021
Tiruppur,93421,91618,846,957,05/10/2021
Trichy,76319,74664,622,1033,05/10/2021
Vellore,49468,48120,225,1123,05/10/2021
Villupuram,45533,44977,202,354,05/10/2021
Virudhunagar,46118,45418,153,547,05/10/2021
AirportSurveillance(International),1026,1023,2,1,05/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,05/10/2021
RailwaySurveillance,428,428,0,0,05/10/2021
Ariyalur,16727,16391,81,255,06/10/2021
Chengalpattu,169412,165763,1169,2480,06/10/2021
Chennai,550936,540549,1885,8502,06/10/2021
Coimbatore,243443,239291,1803,2349,06/10/2021
Cuddalore,63582,62372,350,860,06/10/2021
Dharmapuri,27884,27232,388,264,06/10/2021
Dindigul,32873,32094,141,638,06/10/2021
Erode,102430,100687,1070,673,06/10/2021
Kallakurichi,31050,30633,208,209,06/10/2021
Kancheepuram,74156,72543,361,1252,06/10/2021
Kanyakumari,61915,60599,273,1043,06/10/2021
Karur,23700,23141,204,355,06/10/2021
Krishnagiri,43054,42390,319,345,06/10/2021
Madurai,74771,73296,309,1166,06/10/2021
Mayiladuthurai,22992,22435,249,308,06/10/2021
Nagapattinam,20620,19975,314,331,06/10/2021
Namakkal,50923,49873,562,488,06/10/2021
Nilgiris,32953,32381,367,205,06/10/2021
Perambalur,11981,11655,86,240,06/10/2021
Pudukottai,29866,29253,201,412,06/10/2021
Ramanathapuram,20398,19956,86,356,06/10/2021
Ranipet,43143,42192,182,769,06/10/2021
Salem,98446,96148,631,1667,06/10/2021
Sivagangai,19921,19559,159,203,06/10/2021
Tenkasi,27298,26776,38,484,06/10/2021
Thanjavur,73973,72184,842,947,06/10/2021
Theni,43469,42854,96,519,06/10/2021
Thirupathur,29098,28270,207,621,06/10/2021
Thiruvallur,118143,115623,693,1827,06/10/2021
Thiruvannamalai,54490,53516,309,665,06/10/2021
Thiruvarur,40652,39584,649,419,06/10/2021
Thoothukudi,55952,55370,177,405,06/10/2021
Tirunelveli,49018,48360,228,430,06/10/2021
Tiruppur,93501,91702,839,960,06/10/2021
Trichy,76371,74742,595,1034,06/10/2021
Vellore,49480,48144,213,1123,06/10/2021
Villupuram,45553,44998,201,354,06/10/2021
Virudhunagar,46132,45435,150,547,06/10/2021
AirportSurveillance(International),1026,1023,2,1,06/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,06/10/2021
RailwaySurveillance,428,428,0,0,06/10/2021
Ariyalur,16732,16398,78,256,07/10/2021
Chengalpattu,169516,165860,1175,2481,07/10/2021
Chennai,551110,540740,1865,8505,07/10/2021
Coimbatore,243589,239478,1755,2356,07/10/2021
Cuddalore,63605,62403,342,860,07/10/2021
Dharmapuri,27913,27256,392,265,07/10/2021
Dindigul,32882,32104,140,638,07/10/2021
Erode,102511,100792,1045,674,07/10/2021
Kallakurichi,31062,30654,199,209,07/10/2021
Kancheepuram,74187,72569,366,1252,07/10/2021
Kanyakumari,61938,60621,274,1043,07/10/2021
Karur,23714,23153,206,355,07/10/2021
Krishnagiri,43084,42417,322,345,07/10/2021
Madurai,74794,73328,300,1166,07/10/2021
Mayiladuthurai,23020,22449,261,310,07/10/2021
Nagapattinam,20645,19991,322,332,07/10/2021
Namakkal,50984,49918,576,490,07/10/2021
Nilgiris,32989,32420,364,205,07/10/2021
Perambalur,11985,11660,85,240,07/10/2021
Pudukottai,29882,29272,198,412,07/10/2021
Ramanathapuram,20411,19962,93,356,07/10/2021
Ranipet,43156,42212,175,769,07/10/2021
Salem,98494,96217,608,1669,07/10/2021
Sivagangai,19929,19576,150,203,07/10/2021
Tenkasi,27299,26780,35,484,07/10/2021
Thanjavur,74051,72232,871,948,07/10/2021
Theni,43475,42862,94,519,07/10/2021
Thirupathur,29110,28298,190,622,07/10/2021
Thiruvallur,118197,115688,682,1827,07/10/2021
Thiruvannamalai,54508,53546,297,665,07/10/2021
Thiruvarur,40709,39619,669,421,07/10/2021
Thoothukudi,55965,55383,177,405,07/10/2021
Tirunelveli,49038,48369,239,430,07/10/2021
Tiruppur,93577,91780,835,962,07/10/2021
Trichy,76424,74813,577,1034,07/10/2021
Vellore,49496,48167,206,1123,07/10/2021
Villupuram,45573,45016,203,354,07/10/2021
Virudhunagar,46142,45450,145,547,07/10/2021
AirportSurveillance(International),1026,1023,2,1,07/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,07/10/2021
RailwaySurveillance,428,428,0,0,07/10/2021
Ariyalur,16736,16406,73,257,08/10/2021
Chengalpattu,169619,165962,1175,2482,08/10/2021
Chennai,551275,540924,1843,8508,08/10/2021
Coimbatore,243732,239671,1704,2357,08/10/2021
Cuddalore,63626,62437,328,861,08/10/2021
Dharmapuri,27939,27284,387,268,08/10/2021
Dindigul,32892,32117,136,639,08/10/2021
Erode,102592,100889,1029,674,08/10/2021
Kallakurichi,31076,30671,196,209,08/10/2021
Kancheepuram,74216,72590,374,1252,08/10/2021
Kanyakumari,61963,60637,283,1043,08/10/2021
Karur,23726,23163,208,355,08/10/2021
Krishnagiri,43121,42440,335,346,08/10/2021
Madurai,74814,73355,293,1166,08/10/2021
Mayiladuthurai,23038,22467,260,311,08/10/2021
Nagapattinam,20669,20015,322,332,08/10/2021
Namakkal,51041,49969,582,490,08/10/2021
Nilgiris,33021,32452,364,205,08/10/2021
Perambalur,11988,11667,81,240,08/10/2021
Pudukottai,29897,29286,199,412,08/10/2021
Ramanathapuram,20423,19966,101,356,08/10/2021
Ranipet,43175,42223,182,770,08/10/2021
Salem,98540,96279,592,1669,08/10/2021
Sivagangai,19944,19591,150,203,08/10/2021
Tenkasi,27300,26785,31,484,08/10/2021
Thanjavur,74121,72278,893,950,08/10/2021
Theni,43481,42868,94,519,08/10/2021
Thirupathur,29120,28320,178,622,08/10/2021
Thiruvallur,118256,115751,676,1829,08/10/2021
Thiruvannamalai,54524,53582,277,665,08/10/2021
Thiruvarur,40767,39667,677,423,08/10/2021
Thoothukudi,55989,55402,182,405,08/10/2021
Tirunelveli,49056,48382,244,430,08/10/2021
Tiruppur,93650,91864,824,962,08/10/2021
Trichy,76477,74880,563,1034,08/10/2021
Vellore,49511,48188,200,1123,08/10/2021
Villupuram,45589,45036,199,354,08/10/2021
Virudhunagar,46151,45462,142,547,08/10/2021
AirportSurveillance(International),1026,1023,2,1,08/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,08/10/2021
RailwaySurveillance,428,428,0,0,08/10/2021
Ariyalur,16738,16412,70,256,09/10/2021
Chengalpattu,169723,166066,1175,2482,09/10/2021
Chennai,551440,541093,1839,8508,09/10/2021
Coimbatore,243871,239852,1659,2360,09/10/2021
Cuddalore,63647,62464,320,863,09/10/2021
Dharmapuri,27964,27315,380,269,09/10/2021
Dindigul,32903,32127,137,639,09/10/2021
Erode,102666,100991,999,676,09/10/2021
Kallakurichi,31087,30686,192,209,09/10/2021
Kancheepuram,74243,72614,377,1252,09/10/2021
Kanyakumari,61985,60657,285,1043,09/10/2021
Karur,23740,23175,210,355,09/10/2021
Krishnagiri,43150,42459,344,347,09/10/2021
Madurai,74832,73380,286,1166,09/10/2021
Mayiladuthurai,23057,22488,258,311,09/10/2021
Nagapattinam,20686,20045,309,332,09/10/2021
Namakkal,51118,50025,603,490,09/10/2021
Nilgiris,33068,32486,377,205,09/10/2021
Perambalur,11990,11672,78,240,09/10/2021
Pudukottai,29914,29295,207,412,09/10/2021
Ramanathapuram,20433,19969,108,356,09/10/2021
Ranipet,43191,42237,184,770,09/10/2021
Salem,98599,96338,592,1669,09/10/2021
Sivagangai,19953,19608,142,203,09/10/2021
Tenkasi,27303,26789,30,484,09/10/2021
Thanjavur,74195,72317,927,951,09/10/2021
Theni,43493,42872,102,519,09/10/2021
Thirupathur,29126,28333,171,622,09/10/2021
Thiruvallur,118309,115818,662,1829,09/10/2021
Thiruvannamalai,54542,53614,263,665,09/10/2021
Thiruvarur,40818,39724,668,426,09/10/2021
Thoothukudi,56005,55424,176,405,09/10/2021
Tirunelveli,49070,48398,242,430,09/10/2021
Tiruppur,93725,91953,810,962,09/10/2021
Trichy,76529,74949,545,1035,09/10/2021
Vellore,49526,48206,196,1124,09/10/2021
Villupuram,45601,45059,188,354,09/10/2021
Virudhunagar,46159,45473,139,547,09/10/2021
AirportSurveillance(International),1026,1023,2,1,09/10/2021
AirportSurveillance(Domestic),1083,1082,0,1,09/10/2021
RailwaySurveillance,428,428,0,0,09/10/2021
Ariyalur,16746,16417,73,256,10/10/2021
Chengalpattu,169821,166185,1152,2484,10/10/2021
Chennai,551611,541257,1846,8508,10/10/2021
Coimbatore,244003,240009,1634,2360,10/10/2021
Cuddalore,63672,62488,321,863,10/10/2021
Dharmapuri,27990,27344,377,269,10/10/2021
Dindigul,32916,32135,142,639,10/10/2021
Erode,102737,101097,964,676,10/10/2021
Kallakurichi,31105,30707,189,209,10/10/2021
Kancheepuram,74278,72642,384,1252,10/10/2021
Kanyakumari,62006,60680,283,1043,10/10/2021
Karur,23752,23189,208,355,10/10/2021
Krishnagiri,43177,42472,358,347,10/10/2021
Madurai,74847,73399,281,1167,10/10/2021
Mayiladuthurai,23073,22504,258,311,10/10/2021
Nagapattinam,20705,20078,293,334,10/10/2021
Namakkal,51181,50089,602,490,10/10/2021
Nilgiris,33107,32516,386,205,10/10/2021
Perambalur,11994,11680,73,241,10/10/2021
Pudukottai,29926,29306,208,412,10/10/2021
Ramanathapuram,20443,19976,111,356,10/10/2021
Ranipet,43205,42255,180,770,10/10/2021
Salem,98654,96400,583,1671,10/10/2021
Sivagangai,19964,19620,141,203,10/10/2021
Tenkasi,27305,26791,30,484,10/10/2021
Thanjavur,74256,72365,938,953,10/10/2021
Theni,43501,42878,104,519,10/10/2021
